"var","BLCA_rho","BLCA_rho_pval","BLCA_LH_meddelta","BLCA_LH_pval"
"silent",0.138753667473793,0.116835595097985,24,0.230406306680207
"missense",0.172183141112328,0.051034690182681,45,0.120692437167951
"nonstop",0.147142887115479,0.0961073050938235,0,0.180771537557478
"nonsense",0.191868141293526,0.0293857692591994,6,0.0876479891083128
"frameshift",0.00387437432073057,0.965242158391989,0,0.907734519558237
"total",0.165044039487839,0.0616041963064831,66,0.14199108054062
"GZMA",0.985279202461243,0,NA,NA
"PRF1",0.972903609275818,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.0762830898165703,0.390214116348609,0.0122898026725209,0.570558359443361
"nmdptc_n_decayed",0.362499833106995,2.42532139855811e-05,3,0.00079399990543367
"nmdptc_frac_decayed",0.019420862197876,0.827076787196994,-0.0714285714285714,0.636184962823609
"nmdptc_med",0.0272519253194332,0.759173266674973,0.00761534507496193,0.979061076354195
"nmdptc_med.wt",-0.0641767755150795,0.469951091182456,-0.0165430343664176,0.440262205298102
"nmdptc_mean",-0.0220036078244448,0.804513237276671,-0.151497179814665,0.597459372413008
"nmdptc_mean.wt",-0.214792340993881,0.0145081923308505,-0.0411006657446571,0.00367734351080313
"nmdptc_mut.bool",-0.132922038435936,0.133179403778063,0,0.332197561388374
"nmdfs_max",0.0493701323866844,0.578472000981259,0.0816894562928485,0.244307395311657
"nmdfs_n_decayed",0.114327736198902,0.197012777660332,1,0.0268429645825236
"nmdfs_frac_decayed",0.0441846735775471,0.619048207965271,0.166666666666667,0.406104542927866
"nmdfs_med",0.0582156702876091,0.512259643719464,0.338283050269985,0.253239820969371
"nmdfs_med.wt",0.00312999519519508,0.971917093235268,0.00470658887059584,0.437111020550704
"nmdfs_mean",0.0269380789250135,0.761863373999647,0.0122404749564168,0.568851130909565
"nmdfs_mean.wt",-0.0510149300098419,0.56586456229322,-0.0205629060773666,0.708242694255788
"nmdfs_mut.bool",0.0480624847114086,0.588587320253249,0,0.50218158984746
"nmdns_max",-0.0546184442937374,0.538708372864115,-0.708604527317699,0.964870817132945
"nmdns_n_decayed",0.219436168670654,0.0124688893768941,1,0.0190995907509998
"nmdns_frac_decayed",-0.0705961212515831,0.426610024905211,-0.166666666666667,0.431436128927981
"nmdns_med",-0.0140754114836454,0.874206428931121,-0.0739867018024586,0.988286958111177
"nmdns_med.wt",-0.0726246535778046,0.413408784565185,-0.0151609403983091,0.439247456660294
"nmdns_mean",-0.121629327535629,0.16972090953606,-0.517892087614442,0.439247456660294
"nmdns_mean.wt",-0.168112874031067,0.0568597815572647,-0.0748180293636476,0.439247456660294
"nmdns_mut.bool",0.0983260944485664,0.267607720431737,0,0.668524138886525
"TNFRSF4_cna",-0.0659123286604881,0.45800186157318,0,0.0126235329396979
"CNKSR1_cna",-0.0783686563372612,0.377348724253039,0,0.0466301420745417
"FUBP1_cna",-0.00412163138389587,0.963025484916728,0,0.0370864837761887
"IL10_cna",0.0558111667633057,0.529864416402714,0,0.213637751156891
"IRF6_cna",0.0671873539686203,0.449331798954493,0,0.193869214908113
"IRF6_mut",0.104438744485378,0.23884659373557,0,1
"DNMT3A_cna",-0.13828818500042,0.118080110924955,-1,0.0196388529435372
"SOS1_cna",-0.119329027831554,0.177998444957363,-1,0.0246412519158758
"CASP8_cna",0.153359398245811,0.082713554061931,0,0.010634402430089
"CASP8_mut",0.0474721565842628,0.593180099771268,NA,NA
"CTLA4_cna",0.219405114650726,0.0124816469381503,0,0.00560927762501317
"DNER_cna",0.157867386937141,0.0739700517900321,1,0.268351491179801
"DNER_mut",0.0118680391460657,0.893807695458767,NA,NA
"PDCD1_cna",0.168670549988747,0.0560307413297014,1,0.0691045375740691
"SLC22A14_cna",-0.206436827778816,0.0189155181748233,0,0.0640859037590002
"SLC22A14_mut",-0.0213624704629183,0.810100159727207,NA,NA
"PIK3CA_cna",-0.0173536613583565,0.845239550476677,0,0.363059800075229
"CXCL9_cna",0.0844339430332184,0.341426111048311,0,0.10812019360967
"CXCL10_cna",0.0844339430332184,0.341426111048311,0,0.10812019360967
"CXCL11_cna",0.0844339430332184,0.341426111048311,0,0.10812019360967
"TET2_cna",0.120674535632133,0.17312138379677,0,0.2358770829857
"TET2_mut",0.0569665879011154,0.521367136089007,NA,NA
"IL2_cna",0.219942823052406,0.0122623522788787,0,0.0601121160688347
"IRF1_cna",0.0878545269370079,0.322154968889203,1,0.00376604172568994
"HAVCR2_cna",0.126148268580437,0.154295819563105,1,0.0116397032227252
"TAP1_cna",0.114505037665367,0.196314519978488,0,0.0199043532117266
"TAP1_mut",0.0356041193008423,0.688732265395683,NA,NA
"IFNGR1_cna",0.122060798108578,0.168200570878666,1,0.013515852440219
"IFNGR1_mut",0.142416477203369,0.107394807871789,0,1
"MUC17_cna",-0.232123270630836,0.00812071754414245,-1,0.0431189202056552
"MUC17_mut",-0.0213624704629183,0.810100159727207,NA,NA
"MET_cna",-0.206294342875481,0.0189997489015297,0,0.0661059988507458
"IDO1_cna",-0.0255664996802807,0.773652749860925,0,0.561817741552362
"JAK2_cna",0.13173234462738,0.136718736249933,0,0.31403220538014
"CD274_cna",0.140141814947128,0.113184628848854,0,0.379614927584244
"COL5A1_cna",0.145332679152489,0.100314149712439,0,0.141283149846528
"ARID5B_cna",0.205555334687233,0.0194418359136843,0,0.0258034674407765
"OVOL1_cna",-0.00208715558983386,0.981271524253156,0,0.15313308846527
"LAG3_cna",-0.0337236002087593,0.704386191320799,0,0.361854093369084
"ARID2_cna",-0.054772112518549,0.537564842062415,0,0.398280213904598
"ARID2_mut",0.181963995099068,0.0390309147888046,0,0.356560980663947
"IFNG_cna",-0.123569697141647,0.162963206419927,0,0.173901279665765
"TCP11L2_cna",-0.125373646616936,0.156862382712509,0,0.13778666587133
"TCP11L2_mut",-0.0925707072019577,0.296758550375164,0,1
"B2M_cna",0.0373955555260181,0.673941293642306,0,0.732686920336295
"TP53_cna",0.185114204883575,0.0357098453541171,1,8.64674185824713e-05
"TP53_mut",0.124361678957939,0.160263359191883,0,0.109813673857884
"TMEM88_cna",0.216400340199471,0.0137713650680873,1,9.58850839371621e-05
"MYOCD_cna",0.196185171604156,0.0258640247232171,1,0.000183844099369315
"MYOCD_mut",-0.142416477203369,0.107394807871789,0,1
"NCOR1_cna",0.16794428229332,0.0571123858998577,1,0.000766068426475802
"NCOR1_mut",0.087898887693882,0.321909745157861,0,1
"NF1_cna",-0.214220955967903,0.0147781653244778,-1,0.000410233467403054
"NF1_mut",-0.00970645435154438,0.913064763310572,0,1
"ALPK2_cna",0.0362113006412983,0.683705548421057,0,0.416150581331083
"LPAR2_cna",0.0198007058352232,0.823749037370165,0,0.0114912958415889
"TGFB1_cna",-0.0268871542066336,0.762300140036535,-1,0.0777589295218672
"CIC_cna",-0.0238449685275555,0.788523163005192,-1,0.0777589295218672
"CSNK2A1_cna",0.18401700258255,0.0368384508869615,1,0.332475014187871
"CSNK2A1_mut",0.0403513349592686,0.649809239054741,NA,NA
"ASXL1_cna",-0.0911431387066841,0.30430225603806,0,0.522518124746298
"ASXL1_mut",-0.0396317169070244,0.655652325717593,0,1
"IFNGR2_cna",-0.150205358862877,0.0893091710081362,0,0.3077180219268
"IFNGR2_mut",0.0237360782921314,0.789466373694912,NA,NA
"EP300_cna",0.0712089166045189,0.422596706827735,1,0.321550994126929
"EP300_mut",0.111395083367825,0.2088239735669,0,0.605940350648675
"DDX3X_cna",-0.00640918919816613,0.942532993874974,0,0.010196463997421
"DDX3X_mut",-0.0308569017797709,0.728487281857449,NA,NA
"SSX5_cna",0.0544386990368366,0.540047484964513,0,0.0100518357446336
"FOXP3_cna",0.0544386990368366,0.540047484964513,0,0.0100518357446336
"FOXP3_mut",0.0617138035595417,0.48719678580495,NA,NA
"SMC1A_cna",0.0325491949915886,0.71422589210205,0,0.0360153686813659
"SMC1A_mut",0.0450985506176949,0.611808417234234,NA,NA
"MORC4_cna",0.121046602725983,0.171790338116187,0,0.458142250191896
"CUL4B_cna",-0.0069989375770092,0.937255435806985,0,0.47994428832796
"CUL4B_mut",-0.0488646849989891,0.582372313872801,0,0.332197561388374
"cyt.cat",0.922002971172333,0,NA,NA
"cyt.bool",0.8661248087883,0,NA,NA
