"var","GBMLGG_rho","GBMLGG_rho_pval","GBMLGG_LH_meddelta","GBMLGG_LH_pval"
"silent",0.430747419595718,0,10,4.38680249346877e-16
"missense",0.464759856462479,0,26,6.85899371673474e-20
"nonstop",0.00894794519990683,0.85237345268996,0,1
"nonsense",0.27875143289566,3.32417426918141e-09,1,1.1611133742764e-08
"frameshift",0.13374587893486,0.0052055943039262,1,0.0185154929343259
"total",0.464590907096863,0,41,2.90853166270407e-19
"GZMA",0.961696684360504,0,NA,NA
"PRF1",0.927699327468872,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.0693443045020103,0.148776346253114,0.434457863240104,0.0639724124837114
"nmdptc_n_decayed",0.0727721899747849,0.129664311150933,1,0.035367764150494
"nmdptc_frac_decayed",-0.0955055728554726,0.0465086304423314,-0.333333333333333,0.0535063428272523
"nmdptc_med",-0.033507127314806,0.485783109922601,-0.0843074215865687,0.414036531438368
"nmdptc_med.wt",-0.0743384510278702,0.121590327609535,-0.122087447622808,0.479791124698928
"nmdptc_mean",-0.0173939801752567,0.717528592967452,-0.0527682474297823,0.629190285362985
"nmdptc_mean.wt",-0.0551563426852226,0.250993048721922,-0.100799973783465,0.175019972500851
"nmdptc_mut.bool",-0.000810660189017653,0.986549091856629,0,0.687628683657433
"nmdfs_max",-0.00954530574381351,0.842642288936572,0.389423322655274,0.28183185814117
"nmdfs_n_decayed",-0.0203931797295809,0.671453683047242,0,0.456741841265117
"nmdfs_frac_decayed",-0.0407659858465195,0.396355440889097,0,0.9094694408871
"nmdfs_med",-0.0186590719968081,0.697956968467913,0.220919641470067,0.354017987124061
"nmdfs_med.wt",-0.0378856919705868,0.430592512576009,-0.0409868298012565,0.34551526460448
"nmdfs_mean",-0.00959932431578636,0.841763468138547,0.226162143559846,0.290960274799319
"nmdfs_mean.wt",-0.0320645458996296,0.504768053767458,-0.00910285741284189,0.699749709365068
"nmdfs_mut.bool",0.0346272364258766,0.471311826492939,0,0.670527376495246
"nmdns_max",-0.109908923506737,0.0218660749855319,-1.67531132844481,0.620725363633087
"nmdns_n_decayed",-0.110831297934055,0.0207751609802662,-1,0.698979016151643
"nmdns_frac_decayed",-0.112625896930695,0.0187874930871361,-0.2,0.128817514618382
"nmdns_med",-0.124984093010426,0.00906775970093765,-0.529940142904525,0.268333132529197
"nmdns_med.wt",-0.123247005045414,0.010083871280661,-0.568867472459999,0.489500899999509
"nmdns_mean",-0.11685237288475,0.0147485225263893,-0.612789114808886,0.481915817976317
"nmdns_mean.wt",-0.113389514386654,0.0179933240410413,-0.566388454764232,0.481915817976317
"nmdns_mut.bool",0.131781473755836,0.00591193508314625,0,0.00358743576457793
"TNFRSF4_cna",0.223228469491005,2.57798158909139e-06,0,9.21956237627029e-06
"CNKSR1_cna",0.2434291690588,2.74694266666486e-07,0,9.27439696073438e-07
"FUBP1_cna",0.285629719495773,1.30332544756584e-09,0,1.76860121693107e-08
"FUBP1_mut",-0.0866507068276405,0.0710057406490847,0,0.0267957443999138
"IL10_cna",0.144416630268097,0.0025342383207505,0,0.00154097237139967
"IRF6_cna",0.125893145799637,0.00857319818721147,0,0.00160193605805288
"DNMT3A_cna",0.0685317888855934,0.15360610845122,0,0.0992766819689562
"DNMT3A_mut",-0.00382258929312229,0.936637072107261,NA,NA
"SOS1_cna",0.0864243432879448,0.0717491503022814,0,0.0339170180278272
"CASP8_cna",0.045797448605299,0.340623924880893,0,0.0249624212028492
"CTLA4_cna",0.045797448605299,0.340623924880893,0,0.0249624212028492
"DNER_cna",0.0486098565161228,0.31176770392659,0,0.041282705059362
"PDCD1_cna",0.089373767375946,0.0625463537414377,0,0.00197981739859449
"SLC22A14_cna",0.0700180605053902,0.144859761048011,0,0.000167733000941018
"PIK3CA_cna",0.115285746753216,0.0161467232498684,0,0.00191410543960426
"PIK3CA_mut",-0.0593979582190514,0.216321106848392,0,0.613803797803797
"CXCL9_cna",0.0640521496534348,0.182387731212679,0,0.280539717423143
"CXCL10_cna",0.0640521496534348,0.182387731212679,0,0.280539717423143
"CXCL11_cna",0.0640521496534348,0.182387731212679,0,0.280539717423143
"TET2_cna",0.131650537252426,0.00596194245576021,0,0.0178783770699577
"IL2_cna",0.107745699584484,0.0246212163176949,0,0.0571351691712602
"IRF1_cna",0.0720082595944405,0.133749921808548,0,0.0262750730837473
"HAVCR2_cna",0.04983289539814,0.299735278333603,0,0.054235570221774
"TAP1_cna",-0.0738722160458565,0.123951689831071,0,0.0030864547580067
"IFNGR1_cna",-0.170671701431274,0.000349336495021557,0,0.00185404951348743
"MUC17_cna",0.356574326753616,1.73194791841524e-14,1,6.37034972870459e-12
"MET_cna",0.360810458660126,7.99360577730113e-15,1,5.0681000409365e-12
"MET_mut",-0.0619259476661682,0.197367077416937,0,1
"IDO1_cna",-0.0566868372261524,0.238061979529009,0,0.00188112360900022
"JAK2_cna",-0.0151941562071443,0.751998212378593,0,0.000302370342109202
"JAK2_mut",0.039754930883646,0.408182624107697,NA,NA
"CD274_cna",-0.0310560036450624,0.518268729073188,0,0.000161723658333712
"COL5A1_cna",0.00518691819161177,0.914097860690076,0,0.366500336118684
"ARID5B_cna",-0.577368319034576,0,-1,4.54508357812029e-26
"ARID5B_mut",-0.0248468313366175,0.605288496031872,NA,NA
"OVOL1_cna",-0.201581031084061,2.27771674037314e-05,0,0.000196368377493366
"LAG3_cna",-0.0588421858847141,0.220657639556868,0,0.0162188638569186
"ARID2_cna",0.00646270997822285,0.893083067492905,0,0.0102094964331336
"ARID2_mut",-0.0376052893698215,0.434014509305717,0,1
"IFNG_cna",0.00178470066748559,0.970392666830432,0,0.00812531864254317
"TCP11L2_cna",0.0346953682601452,0.470439306074395,0,0.00511249482387629
"B2M_cna",-0.125156998634338,0.00897178196935511,0,0.000569767675076995
"B2M_mut",0.0756872668862343,0.114956072172198,0,1
"TP53_cna",-0.137466624379158,0.00407247498083407,0,0.0109995468928748
"TP53_mut",-0.0785079300403595,0.102001686510334,0,0.430944348231847
"TMEM88_cna",-0.121346458792686,0.0113102116421349,0,0.0278191199115419
"MYOCD_cna",-0.103738501667976,0.0305218057699572,0,0.0327243632784289
"NCOR1_cna",-0.1076964661479,0.0246872606322235,0,0.0327243632784289
"NF1_cna",-0.0730262994766235,0.12832691285735,0,0.00809466161325863
"NF1_mut",0.120113082230091,0.0121749995281546,0,0.168874974115576
"ALPK2_cna",-0.00598569819703698,0.900932437307369,0,0.12727493309388
"ALPK2_mut",0.0366968587040901,0.445207842467275,NA,NA
"LPAR2_cna",0.0548630952835083,0.253525418106156,0,0.0237940699401325
"TGFB1_cna",0.30214712023735,1.23760113268645e-10,0,4.50863647807886e-08
"CIC_cna",0.325333416461945,3.50164341966774e-12,0,2.64681793286493e-09
"CIC_mut",-0.119876325130463,0.0123475273118887,0,0.0883295164451675
"CSNK2A1_cna",0.255614548921585,6.44510240732643e-08,0,1.75416249758866e-06
"ASXL1_cna",0.271200090646744,9.02380414835591e-09,0,2.29823231722729e-06
"IFNGR2_cna",0.121136479079723,0.0114534860457451,0,7.31023340053358e-05
"EP300_cna",-0.190454855561256,6.40232058710666e-05,0,1.61421042317531e-05
"DDX3X_cna",0.0721936002373695,0.132749689013159,0,0.0324414367278009
"SSX5_cna",0.051844134926796,0.280628045239121,0,0.0662682752127637
"FOXP3_cna",0.0497982688248158,0.300071635559752,0,0.0662682752127637
"SMC1A_cna",0.041993223130703,0.382279771878368,0,0.200785219844154
"MORC4_cna",-0.0830047577619553,0.0837723724147734,0,0.157503147283213
"CUL4B_cna",-0.0757964849472046,0.114431543625627,0,0.125472181703264
"cyt.cat",0.918911576271057,0,NA,NA
"cyt.bool",0.866034507751465,0,NA,NA
