"var","HNSC_rho","HNSC_rho_pval","HNSC_LH_meddelta","HNSC_LH_pval"
"silent",-0.00284746033139527,0.962235451324676,2,0.913695237209709
"missense",0.00808150228112936,0.893099042598853,-2.5,0.953469828383569
"nonstop",0.0278916303068399,0.642733193477572,0,0.439384264747008
"nonsense",0.0190269742161036,0.751687581024364,-0.5,0.873796790025648
"frameshift",-0.197173997759819,0.000928852819494841,-1.5,0.0024356235101219
"total",-0.00393729982897639,0.947799101036659,1,0.825176416727611
"GZMA",0.977909445762634,0,NA,NA
"PRF1",0.964969754219055,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.200865164399147,0.000739487892382096,NA,NA
"nmdptc_n_decayed",-0.043964609503746,0.464528407118147,NA,NA
"nmdptc_frac_decayed",-0.12643001973629,0.0347900320086305,NA,NA
"nmdptc_med",-0.186548665165901,0.00175101333698979,NA,NA
"nmdptc_med.wt",-0.185331299901009,0.00187899776157985,NA,NA
"nmdptc_mean",-0.191081762313843,0.00134143005995435,NA,NA
"nmdptc_mean.wt",-0.208987861871719,0.000441421240062079,NA,NA
"nmdptc_mut.bool",-0.00973343662917614,0.871420539724964,NA,NA
"nmdfs_max",-0.088581956923008,0.139978706741033,-0.56522153287183,0.00422987576318949
"nmdfs_n_decayed",0.0351686552166939,0.558563823914713,0,0.622476019826343
"nmdfs_frac_decayed",0.0288217272609472,0.631685382658273,0.130555555555556,0.765818353582718
"nmdfs_med",-0.0387861505150795,0.518803623015176,0.00594220616359259,0.0310819570908375
"nmdfs_med.wt",0.0049680876545608,0.93416055587342,0.00530115966227944,0.466351289243201
"nmdfs_mean",-0.0625492408871651,0.297825661613398,-0.0544603168923523,0.0123540631199124
"nmdfs_mean.wt",-0.0102403685450554,0.864786468025095,-0.00316860520712867,0.166420408931526
"nmdfs_mut.bool",-0.143114104866982,0.0167536127984507,0,0.00821476568607215
"nmdns_max",-0.072665847837925,0.226313489052,-0.175725359821179,0.425886586301876
"nmdns_n_decayed",0.00666720885783434,0.911722924808664,1,0.810067563714246
"nmdns_frac_decayed",-0.1359553784132,0.0231310647803724,-0.0541666666666666,0.0432080870575509
"nmdns_med",-0.15315143764019,0.0104137570659657,-0.339792267497933,0.0125612692846479
"nmdns_med.wt",-0.194328531622887,0.00110430145933194,-0.0940389415360118,0.479414851236116
"nmdns_mean",-0.12889589369297,0.0313732582423265,-0.29334150847084,0.434085103818708
"nmdns_mean.wt",-0.176376283168793,0.00311609629074772,-0.118602248681941,0.434085103818708
"nmdns_mut.bool",-0.000506047101225704,0.993286116076932,0,1
"TNFRSF4_cna",0.0585770234465599,0.329622847082697,0,0.00456164980299982
"TNFRSF4_mut",0.0625527054071426,0.297798849657356,0,1
"CNKSR1_cna",0.116296768188477,0.0523302592994703,0,0.00326501867694842
"FUBP1_cna",0.0927982777357101,0.122004008929813,0,0.0186445035352037
"FUBP1_mut",0.0348159521818161,0.562517787424517,0,1
"IL10_cna",-0.13396655023098,0.0252384961400984,0,0.000388734675884861
"IRF6_cna",-0.148625701665878,0.0129474617894552,0,0.0018849308194797
"IRF6_mut",0.0796802341938019,0.18448951080799,0,1
"DNMT3A_cna",-0.105786040425301,0.0777328072606553,0,0.0364731553925257
"SOS1_cna",-0.105689436197281,0.0780059418112815,0,0.0364731553925257
"SOS1_mut",0.085637629032135,0.153686432243479,0,1
"CASP8_cna",-0.159195631742477,0.00771798294099746,0,0.012810035239993
"CASP8_mut",0.158054083585739,0.00817354105226231,0,0.0435289798954997
"CTLA4_cna",-0.139308258891106,0.0199215673796296,0,0.0261256906052672
"CTLA4_mut",0.0282976515591145,0.637900563655137,NA,NA
"DNER_cna",-0.0924080163240433,0.123588375090318,0,0.174412867230901
"PDCD1_cna",-0.0932667627930641,0.120122981756823,0,0.0844520364399454
"SLC22A14_cna",0.301350295543671,2.88655537250548e-07,1,5.02064083587666e-06
"PIK3CA_cna",-0.0889956057071686,0.138130326333123,0,0.00178227502430459
"PIK3CA_mut",-0.0796802341938019,0.18448951080799,0,1
"CXCL9_cna",0.0456478856503963,0.447587694590905,0,0.112319586521339
"CXCL9_mut",0.0111701255664229,0.852643933197268,NA,NA
"CXCL10_cna",0.0456478856503963,0.447587694590905,0,0.112319586521339
"CXCL11_cna",0.0456478856503963,0.447587694590905,0,0.112319586521339
"TET2_cna",0.0879685208201408,0.142754600951412,0,0.184775872454084
"TET2_mut",0.0342884361743927,0.568456448192279,NA,NA
"IL2_cna",0.123607978224754,0.0390831871168875,0,0.154150280451331
"IRF1_cna",0.330949068069458,1.48303966884811e-08,1,2.77871317402208e-08
"HAVCR2_cna",0.352892398834229,1.32599331514882e-09,1,3.56400490034975e-09
"HAVCR2_mut",0.0275529772043228,0.646775525971524,NA,NA
"TAP1_cna",0.0201271641999483,0.737840468154042,0,0.174590265356117
"TAP1_mut",-0.0312763527035713,0.602924218571941,NA,NA
"IFNGR1_cna",0.00294734421186149,0.96091177429939,0,0.366385045554834
"IFNGR1_mut",0.162241473793983,0.00661125357801362,0,0.243099419827781
"MUC17_cna",-0.0652701109647751,0.277262210479033,0,0.0049090554226291
"MUC17_mut",-0.0675218477845192,0.260988836582528,0,1
"MET_cna",-0.00531996507197618,0.929508995999262,0,0.0162720829855036
"IDO1_cna",0.0330057628452778,0.58301957235708,0,0.296456640573243
"IDO1_mut",0.0848929584026337,0.157309090462093,0,1
"JAK2_cna",0.418834328651428,2.8155255904494e-13,1,3.33871327874698e-10
"JAK2_mut",-0.0588293299078941,0.327540382570986,0,1
"CD274_cna",0.41929766535759,2.63344901441087e-13,1,3.20316345935665e-10
"COL5A1_cna",0.0606657527387142,0.312639622783258,0,0.152750967168908
"ARID5B_cna",0.0375557653605938,0.532162018420894,0,0.0149390874035981
"OVOL1_cna",-0.0697769373655319,0.245362021839121,0,0.143122503867948
"LAG3_cna",-0.126829475164413,0.0342159744705082,-0.5,0.00497104159375965
"LAG3_mut",0.085637629032135,0.153686432243479,0,1
"ARID2_cna",0.0181504860520363,0.76277659337377,0,0.00392012233872517
"ARID2_mut",0.0749587118625641,0.211960421798203,0,0.362586303782726
"IFNG_cna",-0.0360116623342037,0.549168110159436,0,0.0234023884324001
"TCP11L2_cna",0.00205551041290164,0.972733865658279,0,0.003698412654382
"TCP11L2_mut",-0.0826589316129684,0.168563279781398,0,1
"B2M_cna",0.0269301477819681,0.654236990597127,0,0.0369320940476784
"B2M_mut",0.0953600183129311,0.111992890610761,0,0.476333314246675
"TP53_cna",0.0481096282601357,0.423452970641593,0,0.0866946660280282
"TP53_mut",-0.111433133482933,0.0630644538901675,0,0.0308305828671468
"TMEM88_cna",0.0294677261263132,0.624059794449975,0,0.045745063972403
"MYOCD_cna",0.0228850916028023,0.703507439277103,0,0.0080009137019064
"MYOCD_mut",0.0409571267664433,0.495660515084014,NA,NA
"NCOR1_cna",-0.0238155517727137,0.69205457545624,0,0.00860362167537941
"NCOR1_mut",0.046914529055357,0.435073749337139,NA,NA
"NF1_cna",-0.0985091403126717,0.100582554930754,0,0.0272728560844962
"NF1_mut",0.0364890769124031,0.543881712360258,NA,NA
"ALPK2_cna",0.273593455553055,3.51469436821183e-06,1,1.91530975726172e-06
"ALPK2_mut",0.0369260087609291,0.539065744672187,NA,NA
"LPAR2_cna",0.0563836731016636,0.348084374906356,0,0.76211343542307
"TGFB1_cna",0.124931536614895,0.0370169476753135,0,0.0825178592790541
"CIC_cna",0.101525522768497,0.0905367450173555,0,0.126211818852651
"CIC_mut",-0.0387231037020683,0.519483915594138,NA,NA
"CSNK2A1_cna",-0.111258648335934,0.0634809126693554,-0.5,0.0428521268670402
"CSNK2A1_mut",0.0381850227713585,0.525308530042609,0,1
"ASXL1_cna",-0.158909380435944,0.00783003936809257,-1,0.00300195506841427
"ASXL1_mut",-0.1092149913311,0.0685290170242838,0,0.243099419827781
"IFNGR2_cna",0.116421118378639,0.0520770968945934,0,0.446820343862607
"IFNGR2_mut",-0.0312763527035713,0.602924218571941,NA,NA
"EP300_cna",-0.0748196840286255,0.212811636738892,0,0.000661655063238969
"EP300_mut",0.077189713716507,0.198634167947486,0,0.604321078700979
"DDX3X_cna",0.2280662804842,0.00012147768709192,0,0.000813080510261134
"DDX3X_mut",0.00595740042626858,0.921088775621791,NA,NA
"SSX5_cna",0.225566044449806,0.000144773712026591,0,0.000768784920187131
"FOXP3_cna",0.221506789326668,0.000191693958546235,0,0.000768784920187131
"SMC1A_cna",0.145701795816422,0.0148594813803653,0,0.00166951463598772
"MORC4_cna",-0.0631467625498772,0.293225149009191,0,0.0458662301068648
"MORC4_mut",0.0141879664734006,0.813484133514504,NA,NA
"CUL4B_cna",-0.0929273068904877,0.121483670011865,0,0.227097732028429
"CUL4B_mut",0.0208509024232626,0.728777022604723,NA,NA
"cyt.cat",0.91910982131958,0,NA,NA
"cyt.bool",0.866047501564026,0,NA,NA
