"var","UCEC_rho","UCEC_rho_pval","UCEC_LH_meddelta","UCEC_LH_pval"
"silent",0.221759453415871,0.000524320218042273,34,0.00239763357083133
"missense",0.153949707746506,0.0167663240715261,111,0.0271172936937261
"nonstop",0.19432145357132,0.00244609743800162,0,0.00682255058826052
"nonsense",0.166977941989899,0.00940486792631212,6,0.0128388702518512
"frameshift",0.13748537003994,0.0328926431210643,2,0.152104777181417
"total",0.170861884951591,0.0078541776283001,163,0.0207723022136245
"GZMA",0.939060747623444,0,NA,NA
"PRF1",0.938495755195618,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.0196660384535789,0.761325140930548,-0.0967579658081679,0.720957753728151
"nmdptc_n_decayed",0.0795250609517097,0.218662880795207,1,0.132749073169451
"nmdptc_frac_decayed",-0.195250988006592,0.00232905364967251,-0.166666666666667,0.00947886882664235
"nmdptc_med",-0.174316346645355,0.00667074704654613,-0.253802254243487,0.0509017896272871
"nmdptc_med.wt",-0.176639899611473,0.0059670677990642,-0.0220514456358867,0.412121557427989
"nmdptc_mean",-0.177536725997925,0.00571376115537747,-0.243254180896545,0.0772651368770353
"nmdptc_mean.wt",-0.157747358083725,0.014224872902965,-0.0209759955155159,0.0962779691168403
"nmdptc_mut.bool",0.112150855362415,0.0823019482760501,0,0.174804584555376
"nmdfs_max",-0.0469324626028538,0.468329680887668,0.0859140497496462,0.55827087528924
"nmdfs_n_decayed",-0.0100622233003378,0.87650637835031,0,0.443591447654143
"nmdfs_frac_decayed",-0.171693682670593,0.00755330390447595,-0.242424242424242,0.0384989336385386
"nmdfs_med",-0.134905457496643,0.036350535576932,-0.273897563399255,0.240395121247954
"nmdfs_med.wt",-0.162159726023674,0.0117016740705165,-0.184846323987748,0.39998602837639
"nmdfs_mean",-0.13329304754734,0.0386643066370858,-0.34774463997423,0.488308947591628
"nmdfs_mean.wt",-0.169284522533417,0.00845416400212917,-0.197319693985586,0.108638094637855
"nmdfs_mut.bool",0.142013132572174,0.0274991302133312,0,0.109988924045561
"nmdns_max",-0.0195419210940599,0.76278642616707,-0.13979845173828,0.585456093075777
"nmdns_n_decayed",0.0592697523534298,0.359595641237183,4,0.0515509953027768
"nmdns_frac_decayed",-0.143676534295082,0.025717715800696,-0.121212121212121,0.0918672771444995
"nmdns_med",-0.122716695070267,0.057123193917707,-0.377672191738606,0.242508003248634
"nmdns_med.wt",-0.105409167706966,0.102588218534649,-0.0387753051364743,0.475910572543903
"nmdns_mean",-0.157836496829987,0.0141695166621738,-0.365627852703133,0.454524906604028
"nmdns_mean.wt",-0.121687687933445,0.0592552032021323,-0.0522522135785237,0.454524906604028
"nmdns_mut.bool",0.0819491893053055,0.204900632353862,0,0.581354600905303
"TNFRSF4_cna",-0.0152087500318885,0.814294620150585,0,0.136724574990371
"CNKSR1_cna",0.0364907681941986,0.572936808298005,0,0.0441992428980925
"CNKSR1_mut",0.0124915679916739,0.84702116210047,NA,NA
"FUBP1_cna",-0.0989882051944733,0.125402356233051,0,0.0279425088441049
"IL10_cna",-0.166072502732277,0.00980322838031111,-1,0.00530987278921905
"IL10_mut",0.0937115401029587,0.146940238033373,0,1
"IRF6_cna",-0.172943085432053,0.00712065787220428,-1,0.00777719763623518
"IRF6_mut",0.0575258955359459,0.373930235865167,0,1
"DNMT3A_cna",-0.105918601155281,0.100928802176998,0,0.00767139169066387
"SOS1_cna",-0.145536407828331,0.0238442115457476,0,0.00880248726551292
"SOS1_mut",0.0398969911038876,0.537635065352916,NA,NA
"CASP8_cna",-0.00760186091065407,0.906542491203921,0,0.289300432638299
"CASP8_mut",0.18967080116272,0.00311602831315083,0,0.0737674569889411
"CTLA4_cna",-0.00683813402429223,0.91589520276027,0,0.181409852070531
"CTLA4_mut",0.0575258955359459,0.373930235865167,0,1
"DNER_cna",-0.0574416667222977,0.374631379974458,0,0.284300682508621
"DNER_mut",0.107278943061829,0.0966016830633551,0,0.361798928839963
"PDCD1_cna",-0.019218273460865,0.76660080562299,0,0.423392996549901
"SLC22A14_cna",-0.0673456341028214,0.297767728813067,0,0.0179426018317226
"PIK3CA_cna",-0.148210272192955,0.0213574268521106,0,0.00469517634171949
"PIK3CA_mut",-0.00565982889384031,0.930347167941074,0,1
"CXCL9_cna",0.151126310229301,0.0189043488435434,0,0.252328705706359
"CXCL10_cna",0.151126310229301,0.0189043488435434,0,0.252328705706359
"CXCL11_cna",0.151126310229301,0.0189043488435434,0,0.252328705706359
"TET2_cna",0.166607081890106,0.00956626432231489,0,0.147233383182811
"TET2_mut",0.124293856322765,0.0539788250195261,0,0.361798928839963
"IL2_cna",0.12194512784481,0.0587157504172722,0,0.2443286767927
"IRF1_cna",0.102224357426167,0.113456287069328,0,0.21609266867968
"HAVCR2_cna",0.101713947951794,0.115278911429177,0,0.122728856234747
"TAP1_cna",-0.0792761370539665,0.220112562192557,0,0.275990273579923
"TAP1_mut",0.118698097765446,0.065824282310549,0,0.361798928839963
"IFNGR1_cna",0.0174301154911518,0.787774406873238,0,0.0442336694206017
"IFNGR1_mut",0.103877253830433,0.10770842171162,0,1
"MUC17_cna",-0.000871785450726748,0.989258094941054,0,0.608466383022759
"MUC17_mut",0.0732196867465973,0.257514233024958,0,0.361798928839963
"MET_cna",0.0688824504613876,0.286853723658797,0,0.265097174915303
"MET_mut",0.141342550516129,0.0282466469077638,0,0.361798928839963
"IDO1_cna",-0.104090102016926,0.106985209167168,0,0.392107002922589
"IDO1_mut",0.0797939822077751,0.2171044119109,0,1
"JAK2_cna",0.0829857438802719,0.199210999894152,0,0.195915245109529
"JAK2_mut",0.0793121755123138,0.219902258508728,0,0.361798928839963
"CD274_cna",0.0829857438802719,0.199210999894152,0,0.195915245109529
"COL5A1_cna",0.0980839878320694,0.128908574629747,0,0.0681618618857766
"COL5A1_mut",0.168935552239418,0.00859228071392648,0,0.380110833700957
"ARID5B_cna",-0.02945327013731,0.649138597651543,0,0.870392184457597
"ARID5B_mut",0.0252223089337349,0.696845836912478,0,0.603852824514794
"OVOL1_cna",-0.0667946040630341,0.301747266143168,0,0.0694107011632435
"LAG3_cna",0.0441531501710415,0.495105980993297,0,0.534804376703944
"ARID2_cna",0.0283882580697536,0.661022864330631,0,0.741570906959155
"ARID2_mut",0.124408803880215,0.0537553811852158,0,0.61117008330691
"IFNG_cna",0.0783256441354752,0.225711039491637,0,0.580602268410523
"IFNG_mut",0.110412605106831,0.0871944847905199,0,1
"TCP11L2_cna",0.0378054566681385,0.55918264227752,0,0.381605045893539
"TCP11L2_mut",0.137445867061615,0.0329434012750016,0,0.214850009176397
"B2M_cna",0.217030927538872,0.000693257892662835,0,0.00766361645860182
"B2M_mut",0.0398969911038876,0.537635065352916,NA,NA
"TP53_cna",0.161306157708168,0.0121565065735001,0,0.0472230308707691
"TP53_mut",-0.0351251140236855,0.587390875836707,0,0.172992938280645
"TMEM88_cna",0.161306157708168,0.0121565065735001,0,0.0472230308707691
"MYOCD_cna",0.135688588023186,0.0352697546971479,0,0.0530531314136449
"MYOCD_mut",0.137414246797562,0.0329840787743354,0,0.361798928839963
"NCOR1_cna",0.1396644115448,0.0301939609911033,0,0.0583263732744179
"NCOR1_mut",0.176396548748016,0.00603751415005194,0,0.214850009176397
"NF1_cna",0.0745735615491867,0.248795247663419,0,0.0516097706763799
"NF1_mut",0.0541293025016785,0.402841428099111,0,0.603987557954683
"ALPK2_cna",-0.0184218231588602,0.776011235729821,0,0.428305174771995
"ALPK2_mut",0.0311420541256666,0.630475387740729,0,1
"LPAR2_cna",-0.104203678667545,0.10660086748069,0,0.106722350475485
"TGFB1_cna",0.0585693046450615,0.36531163528424,0,0.0130968358596052
"CIC_cna",0.0644645765423775,0.318961983325891,0,0.0130968358596052
"CIC_mut",0.122110798954964,0.0583707425420514,0,0.242337162802688
"CSNK2A1_cna",-0.140808895230293,0.0288538968285343,0,0.145652648426355
"ASXL1_cna",-0.130048528313637,0.0436983259574644,0,0.226767213962855
"ASXL1_mut",0.0756289660930634,0.242142256301418,0,1
"IFNGR2_cna",0.00328413536772132,0.959549789211784,0,0.703303823651563
"EP300_cna",0.0695261359214783,0.282363231800938,0,0.0712715996152613
"EP300_mut",-0.0137378247454762,0.831974729122871,0,1
"DDX3X_cna",-0.0904138013720512,0.161762189530465,0,0.00428249264561141
"DDX3X_mut",0.0575258955359459,0.373930235865167,0,1
"SSX5_cna",-0.0364645756781101,0.573212445244246,0,0.000425676228153399
"SSX5_mut",0.130832746624947,0.042433737950585,0,0.47586123473648
"FOXP3_cna",-0.0537272840738297,0.40634928587481,0,0.000330300881133997
"FOXP3_mut",0.114259079098701,0.0766675191035189,0,0.361798928839963
"SMC1A_cna",-0.0678206607699394,0.294365183400841,0,0.00126575828068064
"SMC1A_mut",0.0955672115087509,0.139066448869186,0,1
"MORC4_cna",-0.0760210081934929,0.239702896808852,0,0.00162504101710725
"MORC4_mut",0.221566423773766,0.000530393522633732,0,0.0126247308118427
"CUL4B_cna",-0.0506401918828487,0.43388427810558,0,0.304677384093684
"CUL4B_mut",0.119744926691055,0.063459302425354,0,0.159010978500732
"msi",-0.146951034665108,0.0224991188407011,0,0.0279984255234324
"cyt.cat",0.920430958271027,0,NA,NA
"cyt.bool",0.866054475307465,0,NA,NA
