"var","pancancer_rho","pancancer_rho_pval","pancancer_LH_meddelta","pancancer_LH_pval"
"silent",0.258219569921494,0,2,0.00885804242676797
"missense",0.26051265001297,0,4,0.0053826512158945
"nonstop",0.109398536384106,4.44089209850063e-15,0,2.56539506636216e-07
"nonsense",0.245149463415146,0,0,0.000488649119605458
"frameshift",0.14794510602951,0,-1,0.00676210652426986
"total",0.269035130739212,0,7,0.011996552477943
"GZMA",0.97197026014328,0,NA,NA
"PRF1",0.962359726428986,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.00658039562404156,0.638085824031835,-0.0661085677974955,0.379041442618744
"nmdptc_n_decayed",0.0957820490002632,6.77324862863316e-12,1,0.000839009015688718
"nmdptc_frac_decayed",-0.129890382289886,0,-0.157686453576865,4.79761119700891e-09
"nmdptc_med",-0.122739978134632,0,-0.207847353754666,8.43321372287585e-11
"nmdptc_med.wt",-0.142484679818153,0,-0.0441186554783302,0.463729268467462
"nmdptc_mean",-0.140526682138443,0,-0.238219080630737,4.4787380455604e-14
"nmdptc_mean.wt",-0.153437912464142,0,-0.0629449717156089,9.61683616067777e-13
"nmdptc_mut.bool",0.0757718309760094,5.82710342200699e-08,0,0.895611336201292
"nmdfs_max",-0.0751450508832932,7.48873656419846e-08,-0.0645978130146692,0.0904438943781591
"nmdfs_n_decayed",-0.0287444554269314,0.0398693152309566,0,0.311203092148483
"nmdfs_frac_decayed",-0.108907602727413,5.77315972805081e-15,-0.275372257053291,1.34513132389937e-05
"nmdfs_med",-0.0941271856427193,1.54871671043111e-11,-0.251333946498741,4.78282883828736e-08
"nmdfs_med.wt",-0.106050595641136,2.93098878501041e-14,-0.0985781754095449,0.491934906484369
"nmdfs_mean",-0.101613283157349,3.28181926079196e-13,-0.266095589712175,8.72859554370278e-10
"nmdfs_mean.wt",-0.1122822239995,8.88178419700125e-16,-0.11165851096197,4.72467447944799e-08
"nmdfs_mut.bool",0.0656132698059082,2.66415651295482e-06,0,0.590876463501324
"nmdns_max",-0.106835335493088,1.86517468137026e-14,-0.332246160279379,0.810452244179778
"nmdns_n_decayed",-0.0475599430501461,0.000670058431007314,0.5,0.000581740701296398
"nmdns_frac_decayed",-0.159840390086174,0,-0.395652173913043,2.98413158124658e-07
"nmdns_med",-0.162319034337997,0,-0.387949648805071,5.15104692542496e-09
"nmdns_med.wt",-0.184703379869461,0,-0.197219180920449,0.483743174302921
"nmdns_mean",-0.172398179769516,0,-0.426398135221257,0.495327968464053
"nmdns_mean.wt",-0.189341306686401,0,-0.20488700436822,0.495327968464053
"nmdns_mut.bool",0.150362268090248,0,0,0.000176364400368545
"TNFRSF4_cna",0.0810843929648399,6.41606123785721e-09,0,3.10721277772819e-08
"TNFRSF4_mut",0.00614672340452671,0.660388640868269,0,1
"CNKSR1_cna",0.0972760543227196,3.17168513674915e-12,0,4.32596140767449e-12
"CNKSR1_mut",0.0306252557784319,0.0285510573185928,0,0.220131638038146
"FUBP1_cna",0.0842746198177338,1.59207091954272e-09,0,3.30706709269979e-10
"FUBP1_mut",-0.0539269968867302,0.000114529221466153,0,0.656572514581491
"IL10_cna",0.0391859710216522,0.00507680726267368,0,3.5783529183315e-07
"IL10_mut",0.0103402938693762,0.459814768540376,0,1
"IRF6_cna",0.0398945882916451,0.00433315999056827,0,1.00334836828347e-07
"IRF6_mut",0.0446355119347572,0.0014120744651922,0,0.0494385022234801
"DNMT3A_cna",0.0706106722354889,4.33528609011802e-07,0,3.80967406650737e-07
"DNMT3A_mut",0.0256036166101694,0.0671802566375976,0,0.299351315431855
"SOS1_cna",0.0853756219148636,9.72375069352438e-10,0,1.81034932939758e-09
"SOS1_mut",0.0128842331469059,0.357043592632243,0,0.513417119032592
"CASP8_cna",0.0599051378667355,1.81989040932695e-05,0,1.3962810207098e-09
"CASP8_mut",0.0802394449710846,9.20071396848243e-09,0,0.00327811535411591
"CTLA4_cna",0.0566980615258217,4.99023675903931e-05,0,4.24551107334768e-08
"CTLA4_mut",0.0216346960514784,0.121948710160374,0,0.479328936329667
"DNER_cna",0.0360293090343475,0.00998815719774537,0,0.00073613591321932
"DNER_mut",0.0315742939710617,0.0239757530153981,0,0.0962925251802602
"PDCD1_cna",0.0353916175663471,0.0113863497205713,0,0.00296515919597752
"PDCD1_mut",0.0153433475643396,0.272720606841625,0,1
"SLC22A14_cna",-0.275375366210938,0,0,3.03903614834263e-09
"SLC22A14_mut",0.016167176887393,0.247796634471862,0,1
"PIK3CA_cna",0.0610371641814709,1.25932909278426e-05,0,0.781039585387181
"PIK3CA_mut",-0.0181919019669294,0.193436948025845,0,0.0497870683678639
"CXCL9_cna",0.0155463134869933,0.266426518496153,0,0.000114430618597147
"CXCL9_mut",-0.00155011005699635,0.911772469534992,0,1
"CXCL10_cna",0.015631215646863,0.263823531067252,0,0.000114430618597147
"CXCL11_cna",0.015079190954566,0.281063472865657,0,0.000114430618597147
"TET2_cna",0.00788250286132097,0.573124344325294,0,0.00173906854447785
"TET2_mut",0.0418298244476318,0.00277758662161842,0,0.103987540841296
"IL2_cna",0.0114198718219995,0.414312672080449,0,0.00373033210370895
"IL2_mut",-0.00816434994339943,0.559486956747316,0,1
"IRF1_cna",0.0830605402588844,2.72252065336431e-09,0,2.20903456048724e-07
"IRF1_mut",0.0178704094141722,0.201428401299108,0,1
"HAVCR2_cna",0.0845828056335449,1.38769951085749e-09,0,4.58076246717677e-07
"HAVCR2_mut",0.00520609365776181,0.709790039117399,0,0.367879441171442
"TAP1_cna",0.0183999855071306,0.18839014537476,0,0.185069441442129
"TAP1_mut",0.020736537873745,0.138227774428448,0,0.505498663467539
"IFNGR1_cna",-0.00666129402816296,0.633960616780174,0,0.463976079491345
"IFNGR1_mut",0.0553210079669952,7.57640736301912e-05,0,0.0393707550665142
"MUC17_cna",0.0111624980345368,0.424911823182301,0,0.27011962213305
"MUC17_mut",0.0503128804266453,0.00031983348433573,0,0.0257053688518784
"MET_cna",0.00214302446693182,0.878252222238313,0,0.0514261174746559
"MET_mut",0.0556210167706013,6.92310231493742e-05,0,0.185528039181059
"IDO1_cna",-0.0250605903565884,0.0731920021745363,0,0.029989065701587
"IDO1_mut",0.0203881859779358,0.144974369633571,0,0.367592819104785
"JAK2_cna",0.0207887105643749,0.137238507209674,0,1.67448268772685e-06
"JAK2_mut",0.0281031895428896,0.044512285995395,0,0.653665247454972
"CD274_cna",0.025981904938817,0.0632372028662858,0,3.28950570035627e-07
"CD274_mut",0.0164628941565752,0.239251371342234,0,1
"COL5A1_cna",-0.0264006983488798,0.0590969865276079,0,0.075608242857481
"COL5A1_mut",0.0471322238445282,0.000749173851764429,0,0.259395836773971
"ARID5B_cna",0.0138973332941532,0.32049557107995,0,0.209913225163552
"ARID5B_mut",0.012210694141686,0.382738127060549,0,0.350913404106933
"OVOL1_cna",0.00025471142726019,0.985473743553595,0,0.130663785617865
"OVOL1_mut",0.017838828265667,0.202226222662165,0,1
"LAG3_cna",0.0153738046064973,0.271769686028956,0,0.0534276266403644
"LAG3_mut",0.0167956706136465,0.229886183104884,0,1
"ARID2_cna",0.0419143065810204,0.00272307532385074,0,0.101424758414703
"ARID2_mut",0.049443706870079,0.000405563181781421,0,0.329521429394942
"IFNG_cna",0.0511860810220242,0.000251016790687508,0,0.153840705626928
"IFNG_mut",0.0316903963685036,0.0234622293152287,0,0.479328936329667
"TCP11L2_cna",0.0334027819335461,0.0169254643457983,0,0.0390494667693973
"TCP11L2_mut",0.0065110269933939,0.641632049734743,0,0.84631634797898
"B2M_cna",0.0129533298313618,0.354470513732675,0,0.1424362507155
"B2M_mut",0.0626028031110764,7.48916658888099e-06,0,0.0252450183455496
"TP53_cna",-0.0013736137188971,0.92178379852825,0,1.31769544771535e-13
"TP53_mut",-0.0065966472029686,0.637256211234449,0,0.343685482405086
"TMEM88_cna",-0.004216477740556,0.76311071286815,0,4.06357816569114e-14
"MYOCD_cna",0.00852716807276011,0.542166837290165,0,3.84872604792218e-13
"MYOCD_mut",0.0351978205144405,0.0118443851324135,0,0.127666313751996
"NCOR1_cna",0.0111102052032948,0.427084540086239,0,6.33190302357114e-14
"NCOR1_mut",0.0240434538573027,0.0856338602339166,0,0.304886279004738
"NF1_cna",0.00194385705981404,0.88949082586009,0,2.79342034216337e-13
"NF1_mut",0.0219781752675772,0.116134669826025,0,0.378727961749536
"ALPK2_cna",-0.0113185308873653,0.41846730180082,0,0.00292694794224627
"ALPK2_mut",0.0262213442474604,0.0608417025348449,0,0.310855246929284
"LPAR2_cna",-0.0497790537774563,0.000370216663124534,0,0.00727512201119475
"LPAR2_mut",0.0208328925073147,0.136405032241011,0,0.223086669229525
"TGFB1_cna",0.117440454661846,0,0,5.8930883751135e-08
"TGFB1_mut",0.0265779960900545,0.05741328321817,0,0.479328936329667
"CIC_cna",0.117725387215614,0,0,1.27143920997866e-07
"CIC_mut",-0.0456990748643875,0.00108190885067039,0,0.566377167919346
"CSNK2A1_cna",0.018218657001853,0.192782533030083,0,0.106742728221117
"CSNK2A1_mut",0.0220738686621189,0.114554280368583,0,0.223086669229525
"ASXL1_cna",0.0374617092311382,0.00739015340655369,0,0.0565327264242388
"ASXL1_mut",0.0131353978067636,0.347746757029932,0,0.606411790401948
"IFNGR2_cna",-0.028749093413353,0.0398372914785741,0,0.0746955604893551
"IFNGR2_mut",0.00795624312013388,0.569541177425189,0,1
"EP300_cna",0.0919667705893517,4.46331860359805e-11,0,4.11253129955775e-05
"EP300_mut",0.0250903312116861,0.0728517274856979,0,0.904659807394065
"DDX3X_cna",0.049113105982542,0.0004434740550745,0,3.27966803228878e-17
"DDX3X_mut",0.0240165442228317,0.0859849043288774,0,0.366730716294657
"SSX5_cna",0.0546848364174366,9.15951474007581e-05,0,2.81237148123937e-18
"SSX5_mut",0.02535087056458,0.0699258152259565,0,0.479328936329667
"FOXP3_cna",0.0550814382731915,8.13951123266321e-05,0,8.47559891258208e-19
"FOXP3_mut",0.0203837454319,0.145061969815927,0,0.367592819104785
"SMC1A_cna",0.0354181788861752,0.0113248132954564,0,1.09342852020354e-18
"SMC1A_mut",0.0246896613389254,0.077546125547417,0,0.159599063870619
"MORC4_cna",0.0372553318738937,0.00772257237182439,0,1.26424561950883e-15
"MORC4_mut",0.0481675043702126,0.000570954281271963,0,0.00089098823824963
"CUL4B_cna",0.0393348038196564,0.00491167008042392,0,0.900580968130932
"CUL4B_mut",0.0125387301668525,0.370085468975711,0,0.413034383833969
"msi",0.0673712193965912,1.42679661641054e-06,0,0.000338952491184071
"cyt.cat",0.765359938144684,0,NA,NA
"cyt.bool",0.855553269386292,0,NA,NA
